word	syllables
ё	ё
эбонитовый	э бо ни то вый
а	а
да	да
ахинея	а хи не я
агат	а гат
Новосибирск	Но во си бирск
публицист	пуб ли цист
Хвост	Хвост
химия	хи ми я
агент	а гент
день	день
деньги	день ги
Еда	Еда
Банда	Бан да
я	я
Перл	Перл
красный	крас ный
Баба	Ба ба
Близкий	Близ кий
Дева	Де ва
Сон	Сон
цель	цель
объект	объ ект
Ватикан	Ва ти кан
Бог	Бог
труд	труд
акула	а ку ла
Бельгия	Бель ги я
вода	во да
дезодорант	дез о до рант
Пить	Пить
Крутой	Кру той
Филиал	Фи ли ал
Катюша	Ка тю ша
собака	со ба ка
женщина	жен щи на
мужчина	муж чи на
слон	слон
и	и
стол	стол
птица	пти ца
прыгать	пры гать
Белая	Бе ла я
яйцо	яй цо
Весна	Вес на
солнце	солн це
человек	че ло век
сердце	серд це
дом	дом
чувство	чув ство
пол	пол
самец	са мец
хуй	хуй
пизда	пиз да
жопа	жо па
Сука	Су ка
Любовь	Лю бовь
угроза	у гро за
дорога	до ро га
язык	я зык
ты	ты
алфавит	ал фа вит
английский	ан глий ский
он	он
мы	мы
они	о ни
среда	сре да
Залупа	За лу па
месяц	ме сяц
январь	ян варь
март	март
Август	Август
Октябрь	Октябрь
айсберг	айс берг
Варшава	Вар ша ва
Москва	Моск ва
японский	я пон ский
Ноль	Ноль
семь	семь
Сад	Сад
корабль	ко рабль
сестра	сест ра
украинский	у кра ин ский
Белка	Бел ка
ёж	ёж
ад	ад
жираф	жи раф
Лев	Лев
луна	лу на
мёд	мёд
подговорить	под го во рить
книга	кни га
Бабий	Ба бий
бабочка	ба боч ка
ёмкость	ём кость
ёрш	ёрш
фильм	фильм
фокусник	фо кус ник
фурор	фу рор
фуражка	фу раж ка
угорь	у горь
ухо	у хо
учительница	у чи тель ни ца
ябеда	я бе да
Дания	Да ни я
дар	дар
дикобраз	дик об раз
Дагестан	Да ге стан
дюйм	дюйм
Дьявол	Дья вол
дятел	дя тел
приятель	при я тель
дровосек	дро во сек
дубина	ду би на
Швеция	Шве ци я
цапля	цап ля
перевод	пе ре вод
добро	доб ро
каламбур	ка лам бур
ключ	ключ
фляжка	фляж ка
Финляндия	Фин лян ди я
Фонарь	Фо нарь
Кукушка	Ку куш ка
автомобиль	ав то мо биль
лапа	ла па
Жаба	Жа ба
жаворонок	жа во ро нок
стакан	ста кан
рак	рак
Россия	Рос си я
ёрзать	ёр зать
молоко	мо ло ко
падеж	па деж
французский	фран цуз ский
парикмахер	па рик ма хер
сачковать	сач ко вать
ехидна	е хид на
бумага	бу ма га
именительный	и ме ни тель ный
родительный	ро ди тель ный
дательный	да тель ный
винительный	ви ни тель ный
творительный	тво ри тель ный
предложный	пред лож ный
Тьма	Тьма
глаз	глаз
выстрел	вы стрел
жених	же них
сантиметр	сан ти метр
телевизор	те ле ви зор
путешественник	пу те шес твен ник
безбрежный	без бреж ный
испаряться	ис па рять ся
испарение	ис па ре ни е
смотреть	смот реть
пепел	пе пел
Викисловарь	Ви ки сло варь
о	о
Во	Во
Вид	Вид
тремпель	трем пель
Майка	Май ка
Финский	Фин ский
доха	до ха
трактор	трак тор
город	го род
муж	муж
судно	суд но
неф	неф
выдра	выд ра
ванна	ван на
аватар	а ва тар
бурлак	бур лак
газета	га зе та
компонент	ком по нент
мембрана	мем бра на
ребёнок	ре бё нок
сокол	со кол
Сутки	Сут ки
Низ	Низ
твёрдый	твёр дый
Шар	Шар
Воля	Во ля
дерево	де ре во
Революция	Ре во лю ци я
змея	зме я
Гриб	Гриб
верблюд	вер блюд
Земля	Зем ля
лёгкое	лёг ко е
мозг	мозг
Катя	Ка тя
миномёт	ми но мёт
жопорожец	жо по ро жец
зимородок	зи мо ро док
зима	зи ма
аист	а ист
серп	серп
подарок	по да рок
загадка	за гад ка
раут	ра ут
вечер	ве чер
эвтаназия	эв та на зи я
серпантин	сер пан тин
народ	на род
пища	пи ща
справка	справ ка
зеркало	зер ка ло
сокращение	со кра ще ни е
брод	брод
вести	вес ти
Красная	Крас на я
Красное	Крас но е
лужа	лу жа
конёк	ко нёк
плот	плот
грабли	граб ли
кочерга	ко чер га
снеговик	сне го вик
пиво	пи во
ангел	ан гел
воробей	во ро бей
снегирь	сне гирь
ворон	во рон
ворона	во ро на
звезда	звез да
снежинка	сне жин ка
сретение	сре те ни е
кофе	ко фе
ремиз	ре миз
бочка	боч ка
крыша	кры ша
журавль	жу равль
водка	вод ка
синица	си ни ца
го	го
чеснок	чес нок
Дюймовочка	Дюй мо воч ка
водопад	во до пад
лёд	лёд
венгерский	вен гер ский
льдина	льди на
зонт	зонт
турецкий	ту рец кий
облако	об ла ко
бездна	без дна
поток	по ток
добиться	до бить ся
дурак	ду рак
Доха	До ха
Пол	Пол
Звезда	Звез да
Ворона	Во ро на
Рак	Рак
Красный	Крас ный
Брод	Брод
Луна	Лу на
Дар	Дар
воротник	во рот ник
делать	де лать
Труд	Труд
Судно	Суд но
Собака	Со ба ка
Пища	Пи ща
Солнце	Солн це
Зима	Зи ма
опушка	о пуш ка
Го	Го
ёжиться	ё жить ся
ёлка	ёл ка
ёпрст	ёпрст
Она	Она
абажур	а ба жур
абракадабра	аб ра ка да бра
абсент	аб сент
авгур	ав гур
август	ав густ
аверс	а верс
автожир	ав то жир
ага	а га
агентура	а ген ту ра
агитация	а ги та ци я
агрегат	аг ре гат
агрессивность	аг рес сив ность
агрессивный	а грес сив ный
агрессия	аг рес си я
агрессор	аг рес сор
агроном	аг ро ном
агути	а гу ти
адвокат	ад во кат
адмирал	ад ми рал
адмиралтейство	ад ми рал тей ство
адъютант	адъ ю тант
ажиотаж	а жи о таж
азарт	а зарт
акт	акт
аллюзия	ал лю зи я
алтын	ал тын
американский	а ме ри кан ский
аналог	а на лог
апельсин	а пель син
армянский	ар мян ский
арфа	ар фа
архитектор	ар хи тек тор
аршин	ар шин
ассортимент	ас сор ти мент
асфальт	ас фальт
аэродром	а э ро дром
ба	ба
баба	ба ба
бабий	ба бий
бабушка	ба буш ка
баварский	ба вар ский
багаж	ба гаж
бактерия	бак те ри я
балбес	бал бес
банальность	ба наль ность
банда	бан да
баня	ба ня
барышня	ба рыш ня
баян	ба ян
бегемот	бе ге мот
бегун	бе гун
бедность	бед ность
беженец	бе же нец
бекар	бе кар
белиберда	бе ли бер да
белизна	бе лиз на
бемоль	бе моль
библиотека	биб ли о те ка
близкий	близ кий
близко	близ ко
блуд	блуд
бог	бог
боль	боль
бомж	бомж
бонвиван	бон ви ван
брат	брат
буква	бук ва
бык	бык
быстро	быст ро
быть	быть
вагон	ва гон
варварство	вар вар ство
варенье	ва ре нье
вброд	вброд
везение	ве зе ни е
вероятность	ве ро ят ность
верх	верх
весна	вес на
вина	ви на
влагалище	вла га ли ще
во	во
вовремя	во вре мя
война	вой на
волк	волк
волос	во лос
вонь	вонь
восемь	во семь
враг	враг
врать	врать
время	вре мя
всё	всё
вчера	 вчера
вызвать	вы звать
выскочка	вы скоч ка
вящий	вя щий
га	га
гавкать	гав кать
говно	гов но
гешефт	ге шефт
глагол	гла гол
гламурно	гла мур но
глобус	гло бус
глумиться	глу мить ся
глухарь	глу харь
глянец	гля нец
гной	гной
гном	гном
голова	го ло ва
государство	го су дар ство
гриб	гриб
грудь	грудь
группа	груп па
грязный	гряз ный
губить	гу бить
гумно	гум но
давать	да вать
давно	дав но
даль	даль
дама	да ма
датский	дат ский
датчик	дат чик
дать	дать
дважды	дваж ды
дверь	дверь
двести	две сти
движение	дви же ни е
двойка	двой ка
двойняшка	двой няш ка
дворец	дво рец
девиз	 девиз
девочка	де воч ка
девять	де вять
дедушка	де душ ка
дежурить	де жу рить
дека	де ка
дело	де ло
демократия	де мо кра ти я
декабрь	де кабрь
два	два
врач	врач
вожделение	вож де ле ни е
аквариум	ак ва ри ум
асфальтировать	ас фаль ти ро вать
баклажан	бак ла жан
баркас	бар кас
везти	вез ти
взрослый	взрос лый
дерьмо	дерь мо
десять	де сять
джем	джем
дилетантство	ди ле тант ство
дискретный	дис крет ный
довоенный	до во ен ный
дождь	дождь
долго	дол го
дохнуть	до хнуть
доцент	до цент
дочь	дочь
дракон	дра кон
драма	дра ма
дрожать	дро жать
дрожжи	дрож жи
дружба	друж ба
думать	ду мать
дуэт	ду эт
дым	дым
дюжина	дю жи на
дядя	дя дя
ебать	е бать
еда	е да
еле	е ле
есть	есть
жаба	жа ба
жадность	жад ность
жажда	жаж да
жалеть	жа леть
жалить	жа лить
жеманный	же ман ный
жена	же на
женский	жен ский
животное	жи вот но е
жизнь	жизнь
жиртрес	жир трес
жрать	жрать
жёлудь	жё лудь
за	за
завод	за вод
завтра	зав тра
завтрак	зав трак
жест	жест
залупа	за лу па
зажигалка	за жи гал ка
зебра	зеб ра
зевака	зе ва ка
зевать	зе вать
зевок	зе вок
золото	зо ло то
Золушка	Зо луш ка
ибо	и бо
игла	иг ла
империализм	им пе ри а лизм
испанский	ис пан ский
испокон	ис по кон
июль	и юль
июнь	и юнь
кабак	ка бак
земля	зем ля
иврит	ив рит
инженер	ин же нер
кадавр	ка давр
каждодневный	каж до днев ный
каждый	каж дый
казино	ка зи но
кактус	как тус
канат	ка нат
канатоходец	ка на то хо дец
карта	кар та
картошка	кар тош ка
квадрат	квад рат
керосин	ке ро син
китайский	ки тай ский
климат	кли мат
клинок	кли нок
клитор	кли тор
клоп	клоп
клоун	кло ун
клочок	кло чок
клубок	клу бок
клюв	клюв
кляр	кляр
книголюб	кни го люб
князь	князь
кобель	ко бель
кожа	ко жа
коза	ко за
колдунья	кол дунь я
колчан	 колчан
континент	кон ти нент
концепция	кон цеп ци я
конь	конь
кража	кра жа
кровь	кровь
комбинация	ком би на ци я
кукуруза	ку ку ру за
кукушка	ку куш ка
кулак	ку лак
культовый	куль то вый
кум	кум
курить	ку рить
курица	ку ри ца
кусать	ку сать
кушак	ку шак
кушать	ку шать
лабиринт	ла би ринт
лаять	ла ять
легко	лег ко
летать	ле тать
лиганд	ли ганд
лицо	ли цо
лишний	лиш ний
лошадь	ло шадь
луб	луб
лыжник	лыж ник
лыко	лы ко
маг	маг
магазин	ма га зин
мазохизм	ма зо хизм
май	май
майка	май ка
мало	ма ло
малыш	ма лыш
мама	ма ма
мандарин	ман да рин
математик	ма те ма тик
машина	ма ши на
мебель	ме бель
медведь	мед ведь
медяк	ме дяк
